Name|d_cat|d_alcohol|d_glass|d_ingredients|d_instructions|d_shopping|Price|Availability
2 by 4|Cocktail|Alcoholic|||||2|Yes
Adios MF|Ordinary Drink|Alcoholic|Any Glass|1/2 oz Vodka, 1/2 oz Rum, 1/2 oz Tequila, 1/2 oz Gin, 1/2 oz Blue Curacao, 2 oz Sour mix, 2 oz 7-Up|Pour all ingredients except the 7-Up into a chilled glass filled with ice cubes. Top with 7-Up and stir gently.|Vodka, Rum, Tequila, Gin, Blue Curacao, Sour mix, 7-Up|3|Yes
Alabama Slammer|Ordinary Drink|Alcoholic|Highball glass|1 oz Southern Comfort, 1 oz Amaretto, 1/2 oz Sloe gin, 1 dash Lemon juice|Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.|Southern Comfort, Amaretto, Sloe gin, Lemon juice|4|Yes
Alexander|Ordinary Drink|Alcoholic|Cocktail glass|1/2 oz Gin, 1/2 oz white Creme de Cacao, 2 oz Light cream, Nutmeg|Shake all ingredients (except nutmeg) with ice and strain into a cocktail glass. Sprinkle nutmeg on top and serve.|Gin, Creme de Cacao, Light cream, Nutmeg|5|Yes
Appletini|Cocktail|Alcoholic|Cocktail Glass|1 1/2 oz Smirnoff(R) Green Apple Twist vodka, 1 oz DeKuyper(R) Sour Apple Pucker schnapps|Stir ingredients together with crushed ice in a cocktail/martini glass, and serve.|Smirnoff(R) Green Apple Twist vodka, DeKuyper(R) Sour Apple Pucker schnapps|6|Yes
Aviation|Cocktail|Alcoholic|Cocktail glass|1 1/4 oz Gin, 1/4 oz Maraschino liqueur, Juice of 1 Lemon, A few pinch Sugar (optional)|Fill cocktail shaker with ice. Juice the lemon and add to the shaker. Add a little sugar, if desired. Pour in gin and maraschino, and shake. Serve straight up in a cocktail glass.|Gin, Maraschino liqueur, Lemon, Sugar|7|Yes
Banarita|Cocktail|Alcoholic|||||8|Yes
Black Russian|Ordinary Drink|Alcoholic|Old-fashioned glass|3/4 oz Coffee liqueur, 1 1/2 oz Vodka|Pour ingredients over ice cubes in an old-fashioned glass and serve.|Coffee liqueur, Vodka|9|Yes
Bloodhound|Cocktail|Alcoholic|Cocktail glass|1/2 oz sweet vermouth, 1/2 oz dry vermouth, 1 oz gin, 3 crushed strawberries|||10|Yes
Shake all ingredients (except strawberries) with ice and strain into a cocktail glass. Decorate with the 3 crushed strawberries and serve.|Sweet vermouth, Dry vermouth, Gin, Strawberries||||||11|Yes
|||||||12|Yes
Bloody Caesar|Ordinary Drink|Alcoholic|Highball glass|1 oz Vodka, Celery salt, 1 dash Worcestershire sauce, 1 dash Tabasco sauce, Clamato juice, Salt, Black pepper|Rim tall glass with celery salt, fill with ice and ingredients. Garnish with a celery stick, straw, and lime.|Vodka, Celery salt, Worcestershire sauce, Tabasco sauce, Clamato juice, Salt, Black pepper|13|Yes
Bloody Mary|Ordinary Drink|Alcoholic|Old-fashioned glass|1 1/2 oz Vodka, 3 oz Tomato juice, 1 dash Lemon juice, 1/2 tsp Worcestershire sauce, 2-3 drops Tabasco sauce, 1 wedge Lime|Shake all ingredients (except lime wedge) with ice and strain into an old-fashioned glass over ice cubes. Add salt and pepper to taste. Add the wedge of lime and serve.|Vodka, Tomato juice, Lemon juice, Worcestershire sauce, Tabasco sauce, Lime|14|Yes
