Ingredient,Type,Category,Price,Availability
Soda,Mixer,Add-ons,0,Yes
Tonic,Mixer,Add-ons,0,Yes
Cranberry,Mixer,Add-ons,0,Yes
O.J.,Mixer,Add-ons,0,Yes
Sprite,Mixer,Add-ons,0,Yes
Coke,Mixer,Add-ons,0,Yes
Diet Coke,Mixer,Add-ons,0,Yes
Red Bull,Mixer,Add-ons,3,No
Diet Red Bull,Mixer,Add-ons,3,No
Double,Mixer,Add-ons,0,Yes
Pineapple juice,Mixer,Add-ons,0,Yes
Bombay Saphire Gin,Spirit,Gin,10,Yes
Tanqueray Gin,Spirit,Gin,9,Yes
Hendrick's Gin,Spirit,Gin,12,Yes
Gordon's Gin,Spirit,Gin,8,Yes
Southern Comfort,Spirit,Cordials,11,Yes
Aperol,Spirit,Cordials,8,Yes
Chambord,Spirit,Cordials,8,Yes
Disaronno Amaretto,Spirit,Cordials,10,Yes
Fernet-Branca,Spirit,Cordials,10,Yes
Frangelico,Spirit,Cordials,10,Yes
Grand Marnier,Spirit,Cordials,10,Yes
Kahlua,Spirit,Cordials,10,Yes
Lucid Absinth,Spirit,Cordials,10,Yes
St-Germain,Spirit,Cordials,10,Yes
Bols Blue Curacao,Spirit,Cordials,8,Yes
Bols Amaretto,Spirit,Cordials,8,Yes
Bols Peach Schnapps,Spirit,Cordials,8,Yes
Bols Sour Apple Schnapps,Spirit,Cordials,8,Yes
Bols Melon,Spirit,Cordials,8,Yes
Bols Triple Sec,Spirit,Cordials,7,Yes
As a martini,Mixer,Modifications,2,Yes
On the rocks,Mixer,Modifications,2,Yes
No ice,Mixer,Modifications,0,Yes
Light ice,Mixer,Modifications,0,No
Extra ice,Mixer,Modifications,0,Yes
Baccardi Rum,Spirit,Rum,8,Yes
Sailor Jerry's,Spirit,Rum,8,Yes
Malibu Coconut Rum,Spirit,Rum,11,Yes
Tequila Don Julio 1942,Spirit,Tequila,30,Yes
Tequila Don Julio Anejo,Spirit,Tequila,12,Yes
Tequila Don Julio Silver,Spirit,Tequila,10,Yes
Tequila Don Juilo Reposado,Spirit,Tequila,12,Yes
Tequila Jose Cuervo,Spirit,Tequila,8,Yes
Tequila Patron Silver,Spirit,Tequila,10,Yes
Tequila Patron Reposado,Spirit,Tequila,12,Yes
Tequila Patron Anejo,Spirit,Tequila,12,Yes
Belvedere Vodka,Spirit,Vodka,10,Yes
Chopin Potato Vodka,Spirit,Vodka,12,Yes
Ciroc Vodka,Spirit,Vodka,10,Yes
Ciroc Peach Vodka,Spirit,Vodka,10,Yes
Ciroc Coconut Vodka,Spirit,Vodka,10,Yes
Couble Cross Vodka,Spirit,Vodka,10,Yes
Grey Goose Vodka,Spirit,Vodka,8,Yes
Grey Goose Citrus Vodka,Spirit,Vodka,8,Yes
Grey Goose Orange Vodka,Spirit,Vodka,8,Yes
Ketel One Vodka,Spirit,Vodka,10,Yes
Stolichnaya Vodka,Spirit,Vodka,8,Yes
Stolichnaya Rasberry Vodka,Spirit,Vodka,8,Yes
Stolichnaya Blueberry Vodka,Spirit,Vodka,8,Yes
Stolichnaya Vanilla Vodka,Spirit,Vodka,8,Yes
Skyy Cherry Vodka,Spirit,Vodka,8,Yes
Chivas Regal Whiskey,Spirit,Whiskey,14,Yes
Dewar's Whilte Label Whiskey,Spirit,Whiskey,13,Yes
Glenfiddich 12 Whiskey,Spirit,Whiskey,14,Yes
Glnlivet 12 Whiskey,Spirit,Whiskey,12,Yes
Johnny Walker Black Label Whiskey,Spirit,Whiskey,12,Yes
Johnny Walker Blue Label Whiskey,Spirit,Whiskey,40,Yes
Johnny Walker Red Label Whiskey,Spirit,Whiskey,9,Yes
Macallan 12 Whiskey,Spirit,Whiskey,12,Yes
Bushmills Whiskey,Spirit,Whiskey,8,No
Woodford Reserve Whiskey,Spirit,Whiskey,13,Yes
Jameson Whiskey,Spirit,Whiskey,10,Yes
Maker's Mark Whiskey,Spirit,Whiskey,10,Yes
Seagram's Seven Crown,Spirit,Whiskey,8,Yes
Jack Daniels,Spirit,Whiskey,7,Yes
